"search-number","evaluation","tauN*","tauU*","cutoff12*","cutoff23*","cutoff34*","randomLinks*","closeLinks*","sortingprice*","pReverseSorting*","sigma*","randomseed?*","rs*","steps*","recalculateNit?*","homophily?*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"21","224","0.5","0.25","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.286885","7","0.286885","0.3016395"
"21","231","0.9","0.30000000000000004","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.383607","7","0.286885","0.3016395"
"21","238","0.5","0.8500000000000001","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.44153","7","0.286885","0.3016395"
"21","245","0.9","0.6000000000000001","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.345902","7","0.286885","0.3016395"
"21","252","0.2","0.5","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.604918","7","0.286885","0.3016395"
"21","259","0.8500000000000001","0","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.394536","7","0.286885","0.3016395"
"21","266","0.05","0","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.621858","7","0.286885","0.3016395"
"21","273","0.8500000000000001","0.8","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.352459","7","0.286885","0.3016395"
"21","280","0.05","0.25","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.622404","7","0.286885","0.3016395"
"21","287","0.8","0.55","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.377049","7","0.286885","0.3016395"
"21","294","0.05","0.1","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.637705","7","0.286885","0.3016395"
"21","301","0.30000000000000004","0.4","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.430055","7","0.286885","0.3016395"
"21","308","0.9500000000000001","0.25","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.398907","7","0.286885","0.3016395"
"21","315","0.8500000000000001","1","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.338798","7","0.286885","0.3016395"
"21","322","0.9500000000000001","0.65","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.339891","7","0.286885","0.3016395"
"21","329","0.35000000000000003","0.25","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.49071","7","0.286885","0.3016395"
"21","336","0.5","0.30000000000000004","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.338251","7","0.286885","0.3016395"
"21","343","0.5","0.15000000000000002","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.352459","7","0.286885","0.3016395"
"21","350","0.6000000000000001","0.15000000000000002","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.28306","7","0.28306","0.314754"
"21","357","0.5","0.45","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.395628","7","0.28306","0.314754"
"21","364","0.5","0.2","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.313115","7","0.28306","0.314754"
"21","371","0.55","0.25","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.306557","7","0.28306","0.314754"
"21","378","0.5","0.35000000000000003","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.344262","7","0.28306","0.314754"
"21","385","0.45","0.25","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.303825","7","0.28306","0.314754"
"21","392","0.6000000000000001","0","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.295082","7","0.28306","0.314754"
"21","399","0.6000000000000001","0.2","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.318033","7","0.28306","0.314754"
"21","406","0.6000000000000001","0.05","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.331148","7","0.28306","0.314754"
"21","413","0.75","0.15000000000000002","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.383607","7","0.28306","0.314754"
"21","420","0.65","0.15000000000000002","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.36776","7","0.28306","0.314754"
